index,name,state,mp,email,code
33,Jhargram,WB,"Dr. Uma Saren",uma.saren@sansad.nic.in,WB-33
4,Jhunjhunu,RJ,"Smt. Santosh Ahlawat",ahlawat.santosh@sansad.nic.in,RJ-4
16,Jodhpur,RJ,"Shri Gajendra Singh Shekhawat","g.shekhawat@sansad.nic.in, mpgssjodhpur@gmail.com",RJ-16
12,Jorhat,AS,"Shri Kamakhya Prasad Tasa","kamakhyap.tasa@sansad.nic.in, kamakhyatasa@gmail.com",AS-12
13,Junagadh,GJ,"Shri Rajeshbhai Naranbhai Chudasama","chudasamar.naranbhai@sansad.nic.in, rajnc@ymail.com, mp13junagadh@gmail.com",GJ-13
1,Kachchh,GJ,"Shri Vinod Chavda","chavdav.lakhamashi@sansad.nic.in, vinod5467@gmail.com",GJ-1
38,Kadapa,AP,"Shri Y. S. Avinash Reddy",ysavinash.reddy@sansad.nic.in,AP-38
2,Kairana,UP,"Shri Hukum Singh","hukum.singh@sansad.nic.in, hukumbjp@gmail.com",UP-2
57,Kaiserganj,UP,"Shri Brijbhushan Sharan Singh",bjp2014kaisherganj@gmail.com,UP-57
23,Kakinada,AP,"Shri Narasimham Thota","thotanarasimhammp@gmail.com, thotanarasimhamdelhioffice@gmail.com",AP-23
11,Kalahandi,OR,"Shri Arka Keshari Deo",arka.keshari@sansad.nic.in,OR-11
11,Kaliabor,AS,"Shri Gaurav Gogoi",,AS-11
14,Kallakurichi,TN,"Dr. K. Kamaraj",k.kamaraj@sansad.nic.in,TN-14
24,Kalyan,MH,"Dr. Shrikant Eknath Shinde",shrikantshinde87@yahoo.in,MH-24
6,Kancheepuram,TN,"Smt. K. Maragatham","k.maragatham@sansad.nic.in, maragathamkmj@gmail.com",TN-6
13,Kandhamal,OR,"Smt. Pratyusha Rajeshwari Singh","mpkandhamal@gmail.com, pratyusha.singh@sansad.nic.in",OR-13
1,Kangra,HP,"Shri Shanta Kumar","shanta.kumar@sansad.nic.in, skyamini@gmail.com",HP-1
11,Kanker,CT,"Shri Vikram Usendi","vikramd.usendi@sansad.nic.in, vikram_usendi@ymail.com",CT-11
42,Kannauj,UP,"Smt. Dimple Yadav",dimpleyadav78@gmail.com,UP-42
39,Kanniyakumari,TN,"Shri Pon Radhakrishnan",ponrk@sansad.nic.in,TN-39
2,Kannur,KE,"Smt. P.K. Sreemathi Teacher","pk.sreemathi@sansad.nic.in, pksreemathi@gmail.com",KE-2
43,Kanpur,UP,"Dr. Murli Manohar Joshi",murli@sansad.nic.in,UP-43
31,Kanthi,WB,"Shri Sisir Kumar Adhikari","sisir.adhikari@nic.in, sisiradhikari76@yahoo.com",WB-31
35,Karakat,BI,"Shri Upendra Kushwaha",upendra.kushwaha19@sansad.nic.in,BI-35
10,Karauli-Dholpur,RJ,"Dr. Manoj Rajoria","manoj.rajoria@sansad.nic.in, dr.manojrajoria001@gmail.com",RJ-10
1,Karimganj,AS,"Shri Radheshyam Biswas",radheshyam.biswas@sansad.nic.in,AS-1
3,Karimnagar,TG,"Shri Vinod Kumar Boianapalli","vkumar.boianapalli@sansad.nic.in, vinodkumarboianapalli@yahoo.com",TG-3
5,Karnal,HA,"Shri Ashwini Kumar",ashwinikumar001@gmail.com,HA-5
23,Karur,TN,"Dr. M. Thambi Durai",,TN-23
1,Kasaragod,KE,"Shri P. Karunakaran","karunakaran.p@sansad.nic.in, pkarunakaranmp@gmail.com",KE-1
11,Katihar,BI,"Shri Tariq Anwar",tariq.anwar@sansad.nic.in,BI-11
50,Kaushambi,UP,"Shri Vinod Kumar Sonkar","vinod.sonkar@sansad.nic.in, bjpvinodsonkar@gmail.com",UP-50
15,Kendrapara,OR,"Shri Baijayant 'Ja' Panda","office@bjpanda.org, bj.panda@sansad.nic.in",OR-15
4,Keonjhar,OR,"Smt. Sakuntala Laguri",sakuntala.laguri@sansad.nic.in,OR-4
3,"Khadoor Sahib",PB,"Shri Ranjit Singh Brahmpura",,PB-3
25,Khagaria,BI,"Choudhary Mehboob Ali Kaiser",mahboobali.kaiser@sansad.nic.in,BI-25
8,Khajuraho,MP,"Shri Nagendra Singh",nsinghnagod@gmail.com,MP-8
17,Khammam,TG,"Shri Ponguleti Srinivasa Reddy",,TG-17
28,Khandwa,MP,"Shri Nand Kumar Singh Chauhan",,MP-28
27,Khargone,MP,"Shri Subhash Patel","subhash.patel@sansad.nic.in,",MP-27
17,Kheda,GJ,"Shri Devusinh Jesingbhai Chauhan",devusinh@yahoo.co.in,GJ-17
28,Kheri,UP,"Shri Ajay (Teni) Misra",ajay.kumar19@sansad.nic.in,UP-28
11,Khunti,JH,"Shri Kariya Munda",kariya.munda@sansad.nic.in,JH-11
10,Kishanganj,BI,"Shri Asrarul Haque Mohammad","masrarul.haque@sansad.nic.in,",BI-10
5,Kodarma,JH,"Dr. Ravindra Kumar Ray","ravindrak.ray@sansad.nic.in, rkraibjp@gmail.com",JH-5
5,Kokrajhar,AS,"Shri Naba (Hira) Kumar Sarania",saranianabakumar@yahoo.com,AS-5
28,Kolar,KA,"Dr. K.H. Muniyappa",khmuni@sansad.nic.in,KA-28
47,Kolhapur,MH,"Shri Dhananjay Bhimrao Mahadik","db.mahadik@sansad.nic.in,",MH-47
23,"Kolkata Dakshin",WB,"Shri Subrata Bakshi",,WB-23
24,"Kolkata Uttar",WB,"Shri Sudip Bandyopadhyay","sudip@sansad.nic.in, sudip_bandyopadhyay2006@yahoo.com",WB-24
18,Kollam,KE,"Shri N.K. Premachandran","nk.premachandran@sansad.nic.in, nkprem07@gmail.com",KE-18
8,Koppal,KA,"Shri Sanganna Amarappa Karadi",bjpdpkpl@gmail.com,KA-8
21,Koraput,OR,"Shri Jhina Hikaka",jhina.hikaka@sansad.nic.in,OR-21
4,Korba,CT,"Dr. Banshilal Mahto","banshilal.mahto@sansad.nic.in, mahtobanshilal@gmail.com",CT-4
24,Kota,RJ,"Shri Om Birla","ombirla@yahoo.co.in, ombirlakota@gmail.com, birla.om@sansad.nic.in",RJ-24
14,Kottayam,KE,"Shri Jose K. Mani","josekmanimp@gmail.com, mani.josek@sansad.nic.in",KE-14
5,Kozhikode,KE,"Shri M. K. Raghavan","mk.raghavan@sansad.nic.in, calicutmp@yahoo.co.in",KE-5
9,Krishnagiri,TN,"Shri K. Ashokkumar",k.ashokkumar@sansad.nic.in,TN-9
12,Krishnanagar,WB,"Shri Tapas Paul","tapas.paul@sansad.nic.in, t.paul1mp@gmail.com",WB-12
35,Kurnool,AP,"Smt. Renuka Butta","butta.renuka@sansad.nic.in, brnk2106@gmail.com",AP-35
2,Kurukshetra,HA,"Shri Raj Kumar Saini",rajkumarsaini1953@gmail.com,HA-2
65,"Kushi Nagar",UP,"Shri Rajesh Pandey","pandey.rajesh@sansad.nic.in, prajeshmangal@gmail.com",UP-65
4,Ladakh,JK,"Shri Thupstan Chhewang","thupstan.chhewang@sansad.nic.in, thupstanc@yahoo.co.in",JK-4
14,Lakhimpur,AS,"Shri Sarbananda Sonowal",sarbananda.sonowal@sansad.nic.in,AS-14
1,Lakshadweep,LD,"Shri Faizal P.P. Mohammed","mohammed.faizal@sansad.nic.in, faizalpp786@gmail.com",LD-1
68,Lalganj,UP,"Smt. Neelam Sonker",neelam.sonkar@sansad.nic.in,UP-68
41,Latur,MH,"Dr. Sunil Baliram Gaikwad","sbgbjp@gmail.com, dr.sunilbgaikwad@sansad.nic.in, drsbgaikwadbjp@gmail.com",MH-41
12,Lohardaga,JH,"Shri Sudarshan Bhagat",s.bhagat@sansad.nic.in,JH-12
35,Lucknow,UP,"Shri Rajnath Singh",17akbarroad@gmail.com,UP-35
7,Ludhiana,PB,"Shri Ravneet Singh",ravneetbittu@gmail.com,PB-7
74,Machhlishahr,UP,"Shri Ram Charitra Nishad","ram.charitra@sansad.nic.in, anamikaram21@gmail.com",UP-74
28,Machilipatnam,AP,"Shri Konakalla Narayana Rao",knarayana.rao@sansad.nic.in,AP-28
43,Madha,MH,"Shri Vijaysinh Mohite Patil",mpv.shankarrao@sansad.nic.in,MH-43
13,Madhepura,BI,"Shri Rajesh Ranjan (Pappu Yadav)","pappu.yadav@sansad.nic.in, rajesh.ranjan19@sansad.nic.in",BI-13
6,Madhubani,BI,"Shri Hukmdev Narayan Yadav",,BI-6
32,Madurai,TN,"Shri R. Gopalakrishnan",eramgopal@gmail.com,TN-32
16,Mahabubabad,TG,"Dr. (Prof.) Azmeera Seetaram Naik","aseetaram.naik@sansad.nic.in, asrnaik9@gmail.com",TG-16
11,Mahabubnagar,TG,"Shri A.P. Jithender Reddy","jreddy@sansad.nic.in, hardikavasia@gmail.com, jrinfra@gmail.com",TG-11
19,Maharajganj,BI,"Shri Janardan Singh Sigriwal",janardansingh.sigriwal@sansad.nic.in,BI-19
63,Maharajganj,UP,"Shri Pankaj Chowdhary","pankaj.chowdhary@sansad.nic.in, pankajchaudharyloksabha91@gmail.com",UP-63
9,Mahasamund,CT,"Shri Chandu Lal Sahu",chandulal.sahu@sansad.nic.in,CT-9
21,Mainpuri,UP,"Shri Tejpratap Singh Yadav",yadavteju@gmail.com,UP-21
6,Malappuram,KE,"Shri PK Kunhalikutty",pkkunhalikutty@gmail.com,KE-6
8,"Maldaha Dakshin",WB,"Shri Abu Hasem Khan Choudhury",ahk.chowdhury@sansad.nic.in,WB-8
7,"Maldaha Uttar",WB,"Smt. Mausam Noor",mausam_bnoor@yahoo.co.in,WB-7
7,Malkajgiri,TG,"Shri Ch. Malla Reddy","chmalla.reddy@sansad.nic.in, chmallareddy999@gmail.com",TG-7
2,Mandi,HP,"Shri Ram Swaroop Sharma","r.swaroop@sansad.nic.in, mpmandikullu@gmail.com",HP-2
14,Mandla,MP,"Shri Faggan Singh Kulaste","fskulaste@sansad.nic.in, fskulaste@yahoo.com, fskulaste@gmail.com",MP-14
23,Mandsour,MP,"Shri Sudheer Gupta","sudhirgupta.mp@sansad.nic.in, sudhirgupta2760@gmail.com",MP-23
20,Mandya,KA,"Shri C.S. Puttaraju","cs.puttaraju@sansad.nic.in, cspmdy.mp@gmail.com",KA-20
8,Mangaldoi,AS,"Shri Ramen Deka","ramen.deka@sansad.nic.in, ramenguwahati@yahoo.co.in, ramendeka16@gmail.com",AS-8
17,Mathura,UP,"Smt. Hema Malini","h.malini@sansad.nic.in, hema3pol@gmail.com",UP-17
20,Mathurapur,WB,"Shri Choudhury Mohan Jatua",mj.choudhury@sansad.nic.in,WB-20
33,Maval,MH,"Shri Shrirang Appa Barne","sc.barne@sansad.nic.in, appabarne@gmail.com",MH-33
16,Mavelikkara,KE,"Shri Suresh Kodikunnil","kodikunnil.suresh@sansad.nic.in, kodikunnilsuresh@yahoo.com",KE-16
28,Mayiladuthurai,TN,"Shri R.K. Bharathimohan","rkm.bharathi@sansad.nic.in, rkbmp2014@gmail.com",TN-28
5,Mayurbhanj,OR,"Shri Rama Chandra Hansdah",,OR-5
6,Medak,TG,"Shri Kotha Prabhakar Reddy",kprmedakmp@gmail.com,TG-6
34,Medinipur,WB,"Smt. Sandhya Roy","sandhya.roy@sansad.nic.in, roysandhya@yahoo.com",WB-34
10,Meerut,UP,"Shri Rajendra Agrawal","rajendra.agrawal51@gmail.com, rajendra.agrawal@sansad.nic.in",UP-10
4,Mehsana,GJ,"Smt. Jayshreeben Patel","jkpatelgujarat@gmail.com, jk.patel@sansad.nic.in",GJ-4
79,Mirzapur,UP,"Smt. Anupriya Patel","anupriyasingh.patel@sansad.nic.in, mirzapur.mp@gmail.com",UP-79
32,Misrikh,UP,"Smt. Anju Bala","anju.bala@sansad.nic.in, anjubala32mishrikh@gmail.com",UP-32
1,Mizoram,MI,"Shri C. L. Ruala",rualacl@gmail.com,MI-1
34,Mohanlalganj,UP,"Shri Kaushal Kishore",kishore.kaushal@sansad.nic.in,UP-34
6,Moradabad,UP,"Shri Kunwar Sarvesh Kumar",sarveshsinghbjp@gmail.com,UP-6
1,Morena,MP,"Shri Anoop Mishra",anoop.mishra@sansad.nic.in,MP-1
30,"Mumbai South-Central",MH,"Shri Rahul Ramesh Shewale","rr.shewale@sansad.nic.in, rahul.shewale2014@gmail.com",MH-30
26,Mumbai-North,MH,"Shri Gopal Chinayya Shetty",helpdeskgopalshetty@gmail.com,MH-26
29,Mumbai-North-Central,MH,"Smt. Poonam Mahajan",poonam.mahajan@sansad.nic.in,MH-29
28,Mumbai-North-East,MH,"Dr. Kirit Somaiya","kiritbjp@gmail.com, kiritsomaiya@gmail.com",MH-28
27,Mumbai-North-West,MH,"Shri Gajanan Chandrakant Kirtikar","gc.kirtikar@sansad.nic.in, gajanan.kirtikar@yahoo.com",MH-27
31,Mumbai-South,MH,"Shri Arvind Ganpat Sawant","arvind.sawant@sansad.nic.in, arvindsawantg@gmail.com",MH-31
28,Munger,BI,"Smt. Veena Devi",veena.devi@sansad.nic.in,BI-28
11,Murshidabad,WB,"Shri Md. Badaruddoza Khan",,WB-11
3,Muzaffarnagar,UP,"Dr. Sanjeev Kumar Balyan","sanjeevkumar.balyan@sansad.nic.in, drbalyan@rediffmail.com",UP-3
15,Muzaffarpur,BI,"Shri Ajay Nishad",ajay.nishad@sansad.nic.in,BI-15
21,Mysore,KA,"Shri Prathap Simha","prathap.simha@sansad.nic.in,",KA-21
12,Nabarangpur,OR,"Shri Balabhadra Majhi","balabhadra.majhi@sansad.nic.in, bmajhi86@yahoo.co.in",OR-12
1,Nagaland,NA,"Shri Neiphiu Rio","neiphiu.rio@sansad.nic.in, rioneiphiu@gmail.com",NA-1
29,Nagapattinam,TN,"Dr. K. Gopal",gopalnannilam@gmail.com,TN-29
12,Nagarkurnool,TG,"Shri Nandi Yellaiah","nandiy@sansad.nic.in, nandiyellaiah@yahoo.co.in",TG-12
14,Nagaur,RJ,"Shri C.R. Chaudhary","cr.choudhary@sansad.nic.in, crchaudhary.nagaur@gmail.com",RJ-14
5,Nagina,UP,"Dr. Yashwant Singh",yashwant.singh19@sansad.nic.in,UP-5
10,Nagpur,MH,"Shri Nitin Jairam Gadkari",nitin.gadkari@nic.in,MH-10
4,"Nainital-Udhamsingh Nagar",UT,"Shri Bhagat Singh Koshyari","J123uk@gmail.com, bs.koshyari@sansad.nic.in",UT-4
29,Nalanda,BI,"Shri Kaushalendra Kumar",kaushalendra.k@sansad.nic.in,BI-29
13,Nalgonda,TG,"Shri Sukender Reddy Gutha",gutha.loksabha@gmail.com,TG-13
16,Namakkal,TN,"Shri P.R. Sundaram","pr.sundaram@sansad.nic.in, aiadmkprs@gmail.com",TN-16
16,Nanded,MH,"Shri Ashok Shankarrao Chavan",ashokchavan009@gmail.com,MH-16
1,Nandurbar,MH,"Dr. Heena Vijaykumar Gavit",,MH-1
34,Nandyal,AP,"Shri S.P.Y. Reddy","spy.reddy@sansad.nic.in,",AP-34
31,Narasaraopet,AP,"Shri Rayapati Sambasiva Rao",rsrdelhi11@gmail.com,AP-31
26,Narsapuram,AP,"Shri Gokaraju Ganga Raju","goka.raju@sansad.nic.in, gokarajugangarajump@gmail.com",AP-26
21,Nashik,MH,"Shri Hemant Tukaram Godse",ht.godse@sansad.nic.in,MH-21
25,Navsari,GJ,"Shri C. R. Patil","cr.patil@sansad.nic.in, crpatiloffice@ymail.com, c_r_patil@yahoo.com",GJ-25
39,Nawada,BI,"Shri Giriraj Singh","giriraj.singh@sansad.nic.in, girirajbihari@gmail.com",BI-39
10,Nawgong,AS,"Shri Rajen Gohain","r.gohain@sansad.nic.in, rajen.gohain@gmail.com",AS-10
39,Nellore,AP,"Shri Mekapati Rajamohan Reddy",rajamohan.reddy@sansad.nic.in,AP-39
4,"New Delhi",DL,"Smt. Meenakashi Lekhi",mrs.mlekhi@gmail.com,DL-4
19,Nilgiris,TN,"Shri Gopalakrishnan Chinnaraj","c.gopalakrishnan@sansad.nic.in, cgopal777@gmail.com",TN-19
4,Nizamabad,TG,"Smt. Kavitha Kalvakuntla",kalvakuntla.kavitha@sansad.nic.in,TG-4
AI,"Nominated Anglo-Indian",KE,"Prof. Richard Hay",profhay@gmail.com,KE-AI
,"Nominated Anglo-Indian",WB,"Shri George Baker",georgeb2810@gmail.com,WB-
2,"North East Delhi",DL,"Shri Manoj Kumar Tiwari","mt7tiwari@gmail.com, tiwari.manoj@sansad.nic.in",DL-2
1,"North Goa",GO,"Shri Shripad Yesso Naik",shripad.naik@sansad.nic.in,GO-1
5,"North West Delhi",DL,"Dr. Udit Raj","udit.raj@sansad.nic.in, dr.uditraj@gmail.com",DL-5
33,Ongole,AP,"Shri Yerram Venkata Subba Reddy","yvsubba.reddy@sansad.nic.in, yvsubbareddymp@gmail.com",AP-33
40,Osmanabad,MH,"Prof. Ravindra Vishwanath Gaikwad",prof.ravi@sansad.nic.in,MH-40
2,"Outer Manipur",MA,"Shri Thangso Baite","t.baite@sansad.nic.in,",MA-2
8,Palakkad,KE,"Shri M. B. Rajesh","mb.rajesh@sansad.nic.in, mbrajesh.palakkad@gmail.com",KE-8
13,Palamu,JH,"Shri Vishnu Dayal Ram","vishnudayal.ram@sansad.nic.in, vishnudayalram.mp@gmail.com",JH-13
22,Palghar,MH,"Shri Chintaman Navsha Wanaga",,MH-22
15,Pali,RJ,"Shri P.P. Chaudhary","pp.chaudhary@sansad.nic.in, ppchaudhary@gmail.com",RJ-15
18,Panchmahal,GJ,"Shri Prabhatsinh Pratapsinh Chauhan",mp.panchmahal@prabhatsinh.com,GJ-18
17,Parbhani,MH,"Shri Sanjay Haribhau Jadhav",jadhav.sanjay@sansad.nic.in,MH-17
2,"Paschim Champaran",BI,"Dr. Sanjay Jaiswal","drsanjayjaiswal@gmail.com, dr.sanjayjaiswal@sansad.nic.in",BI-2
31,Pataliputra,BI,"Shri Ram Kripal Yadav",ramkripal.yadav@sansad.nic.in,BI-31
3,Patan,GJ,"Shri Liladharbhai Khodaji Vaghela",vaghela.liladharbhai@gmail.com,GJ-3
17,Pathanamthitta,KE,"Shri Anto Antony",anto.antony@sansad.nic.in,KE-17
13,Patiala,PB,"Dr. Dharam Vira Gandhi","dharamv.gandhi@sansad.nic.in, dvgandhi1951@yahoo.com",PB-13
30,"Patna Sahib",BI,"Shri Shatrughan Prasad Sinha","shatrugn@sansad.nic.in, shatrughansinha@ymail.com",BI-30
2,Peddapalle,TG,"Shri Balka Suman","balka.suman@sansad.nic.in, balkasumantrsv@gmail.com",TG-2
25,Perambalur,TN,"Shri R.P. Marutharajaa",rpmarutharajaa@gmail.com,TN-25
51,Phulpur,UP,"Shri Keshav Prasad (Kushwaha) Maurya",keshav.prasad@sansad.nic.in,UP-51
26,Pilibhit,UP,"Smt. Maneka Sanjay Gandhi",gandhim@sansad.nic.in,UP-26
21,Pollachi,TN,"Shri C. Mahendran",mahendran.c@sansad.nic.in,TN-21
7,Ponnani,KE,"Shri E. T. Mohammed Basheer",basheeret@gmail.com,KE-7
11,Porbandar,GJ,"Shri Vitthalbhai Hansrajbhai Radadiya",,GJ-11
39,Pratapgarh,UP,"Shri Kunwar Haribansh Singh",hbgroupofcompany@gmail.com,UP-39
1,Puducherry,PO,"Shri R. Radhakrishnan",rrrpondy@gmail.com,PO-1
34,Pune,MH,"Shri Shirole Anil (alias Padmakar) Gulabrao","anil.shirole@sansad.nic.in, shiroleanil@gmail.com",MH-34
17,Puri,OR,"Shri Pinaki Misra",pinakimisra@gmail.com,OR-17
12,Purnia,BI,"Shri Santosh Kumar",santosh.kumar19@sansad.nic.in,BI-12
35,Purulia,WB,"Dr. Mriganka Mahato",mriganka.mahato@sansad.nic.in,WB-35
3,"Purvi Champaran",BI,"Shri Radha Mohan Singh",rmsingh@sansad.nic.in,BI-3
36,"Rae Bareli",UP,"Smt. Sonia Gandhi",soniagandhi@sansad.nic.in,UP-36
6,Raichur,KA,"Shri B.V. Naik",bv.nayak@sansad.nic.in,KA-6
32,Raigad,MH,"Shri Anant Gangaram Geete",geete@sansad.nic.in,MH-32
5,Raiganj,WB,"Shri Mohammad Salim",md.salim@sansad.nic.in,WB-5
2,Raigarh,CT,"Shri Vishnu Deo Sai",vishnudeo.sai@gov.in,CT-2
8,Raipur,CT,"Shri Ramesh Bais",ramesh.bais@sansad.nic.in,CT-8
25,Rajahmundry,AP,"Shri Murali Mohan Maganti","muralimohan@jayabherigroup.com, muralimohan.maganti@sansad.nic.in",AP-25
41,Rajampet,AP,"Shri Midhun Reddy",pvmr@plrprojects.com,AP-41
20,Rajgarh,MP,"Shri Rodmal Nagar","rodmal.nagar@sansad.nic.in, rodmalnagar@gmail.com",MP-20
10,Rajkot,GJ,"Shri Mohanbhai Kalyanji Kundariya","mk.kundariya@sansad.nic.in, mk.kundariya@yahoo.com",GJ-10
1,Rajmahal,JH,"Shri Vijay Kumar Hansdak",,JH-1
6,Rajnandgaon,CT,"Shri Abhishek Singh","abhishek.singh19@sansad.nic.in, cg.abhishek.singh@gmail.com",CT-6
22,Rajsamand,RJ,"Shri Hariom Singh Rathore","hariomsingh.rathore@sansad.nic.in, hariomkelwa@gmail.com",RJ-22
35,Ramanathapuram,TN,"Shri A. Anwhar Raajhaa",raajhaa7786@gmail.com,TN-35
7,Rampur,UP,"Dr. Nepal Singh","dr.nepalsingh@sansad.nic.in,",UP-7
9,Ramtek,MH,"Shri Krupal Balaji Tumane",kb.tumane@sansad.nic.in,MH-9
13,Ranaghat,WB,"Dr. Tapas Mandal","tapas.mandal@sansad.nic.in, tmbckv@gmail.com",WB-13
8,Ranchi,JH,"Shri Ram Tahal Choudhary","ramtahal.choudhary@sansad.nic.in,",JH-8
24,Ratlam,MP,"Shri Kantilal Bhuria",,MP-24
46,Ratnagiri-Sindhudurg,MH,"Shri Vinayak Bhaurao Raut","vinayakbraut@gmail.com, vb.raut@sansad.nic.in",MH-46
4,Raver,MH,"Smt. Raksha Nikhil Khadse","nr.khadase@sansad.nic.in, rakshataikhadse@gmail.com",MH-4
10,Rewa,MP,"Shri Janardan Mishra",Janardan.BJP@gmail.com,MP-10
80,Robertsganj,UP,"Shri Chhotelal",,UP-80
7,Rohtak,HA,"Shri Deepender Singh Hooda",office@deepender.in,HA-7
5,Sabarkantha,GJ,"Shri Dipsinh Shankarsinh Rathod",dipsinhrathod@gmail.com,GJ-5
5,Sagar,MP,"Shri Laxmi Narayan Yadav","laxminarayan.yadav@sansad.nic.in, lnyadavsagar@gmail.com",MP-5
1,Saharanpur,UP,"Shri Raghav Lakhanpal","raghav.lakhanpal@sansad.nic.in, rlpmla@gmail.com",UP-1
15,Salem,TN,"Shri V. Panneer Selvam","v.pannerselvam@sansad.nic.in, vpselvam.salem@gmail.com",TN-15
71,Salempur,UP,"Shri Ravindra Kushawaha",kushawaharavindra@gmail.com,UP-71
23,Samastipur,BI,"Shri Ramchandra Paswan",ramchandra.paswan@sansad.nic.in,BI-23
3,Sambalpur,OR,"Shri Nagendra Kumar Pradhan","nagendra.pradhan@sansad.nic.in, nagendrakp1952@gmail.com",OR-3
8,Sambhal,UP,"Shri Satya Pal Singh","satyapalsingh.mp@sansad.nic.in, spsinghsainimbd@gmail.com",UP-8
44,Sangli,MH,"Shri Sanjay(Kaka) Ramchandra Patil","sanjaykaka.patil@sansad.nic.in, sanjaykaka404@gmail.com",MH-44
12,Sangrur,PB,"Shri Bhagwant Mann",bhagwant.mann@sansad.nic.in,PB-12
62,"Sant Kabir Nagar",UP,"Shri Sharad Tripathi","sharad.tripathi@sansad.nic.in, sharad.skn@gmail.com",UP-62
20,Saran,BI,"Shri Rajiv Pratap Rudy","rudypr@sansad.nic.in, rprudy.office@gmail.com",BI-20
34,Sasaram,BI,"Shri Chhedi Paswan","chhedi.paswan@sansad.nic.in, chhedipaswan.mp@gmail.com",BI-34
45,Satara,MH,"Shri Udayanraje Pratapsingh Bhonsle",udayanrajebhonsle@gmail.com,MH-45
9,Satna,MP,"Shri Ganesh Singh","sganesh@sansad.nic.in, loksabhasatna@gmail.com",MP-9
8,Secunderabad,TG,"Shri Bandaru Dattatreya",bandaru@sansad.nic.in,TG-8
27,Serampore,WB,"Shri Kalyan Banerjee","kalyan.banerjee@sansad.nic.in,",WB-27
12,Shahdol,MP,"Shri Dalpat Singh Paraste",dalpat.paraste@sansad.nic.in,MP-12
27,Shahjahanpur,UP,"Smt. Krishna Raj",krishna.raj19@sansad.nic.in,UP-27
4,Sheohar,BI,"Smt. Rama Devi",rama.devi19@sansad.nic.in,BI-4
1,Shillong,ME,"Shri Vincent H Pala","vincentdimo@yahoo.com, vincentpala@gmail.com, vincent.pala@sansad.nic.in",ME-1
4,Shimla,HP,"Shri Virender Kashyap","virenderkashyapbjp@yahoo.co.in,",HP-4
14,Shimoga,KA,"Shri B. S. Yeddyurappa","bs.yeddyurappa@sansad.nic.in, bsy@yeddyurappa.in",KA-14
38,Shirdi,MH,"Shri Sadashiv Kisan Lokhande","sk.lokhande@sansad.nic.in,",MH-38
36,Shirur,MH,"Shri Shivaji Adhalrao Patil","shivajirao@sansad.nic.in,",MH-36
58,Shrawasti,UP,"Shri Daddan Mishra",daddan.mishra@sansad.nic.in,UP-58
11,Sidhi,MP,"Smt. Riti Pathak","riti.pathak@sansad.nic.in, riti.sidhi@gmail.com",MP-11
5,Sikar,RJ,"Shri Sumedhanand Saraswati","sumedhanand.s@sansad.nic.in, sss.piprali@gmail.com",RJ-5
1,Sikkim,SK,"Shri Prem Das Rai","premdas.rai@sansad.nic.in, mpsikkim@gmail.com",SK-1
2,Silchar,AS,"Km. Sushmita Dev",sushmita.dev@sansad.nic.in,AS-2
10,Singhbhum,JH,"Shri Laxman Giluwa",laxman.giluwa@sansad.nic.in,JH-10
3,Sirsa,HA,"Shri Charanjeet Singh Rori",charanjeet.rori@sansad.nic.in,HA-3
5,Sitamarhi,BI,"Shri Ram Kumar Sharma",mpkushwaharksharma@gmail.com,BI-5
30,Sitapur,UP,"Shri Rajesh Verma","verma.rajesh@sansad.nic.in, suneetkverma@yahoo.co.in",UP-30
31,Sivaganga,TN,"Shri P.R. Senthilnathan","senthilnathan.pr@sansad.nic.in, senthil.admk.SVG.DS@gmail.com",TN-31
18,Siwan,BI,"Shri Om Prakash Yadav",opyadavmp@gmail.com,BI-18
42,Solapur,MH,"Shri Sharadkumar Maruti Bansode","sharad.bansode@sansad.nic.in, sbansodeg@yahoo.co.in",MH-42
6,Sonipat,HA,"Shri Ramesh Chander Kaushik","ramesh.kaushik@sansad.nic.in, mp.sonepat@gmail.com",HA-6
7,"South Delhi",DL,"Shri Ramesh Bidhuri","ramesh.bidhuri@sansad.nic.in, rameshbidhuri@yahoo.in",DL-7
2,"South Goa",GO,"Advocate (Shri) Narendra Keshav Sawaikar","narendra.sawaikar@sansad.nic.in, sawaikar.narendra@gmail.com",GO-2
19,Srikakulam,AP,"Shri Kinjarapu Ram Mohan Naidu","rammohannaidu.k@sansad.nic.in, rammnk9@gmail.com, rammohannaidu@gmail.com",AP-19
2,Srinagar,JK,"Shri Tariq Hameed Karra","tariq.karra@sansad.nic.in, karratariq@gmail.com",JK-2
5,Sriperumbudur,TN,"Shri Krishnan Narayanasamy Ramachandran","knt.ramachandran@sansad.nic.in, knramachandran.mp@gmail.com",TN-5
38,Sultanpur,UP,"Shri Feroze Varun Gandhi","ferozevarun.gandhi@sansad.nic.in, 14ashokaroad@gmail.com",UP-38
2,Sundargarh,OR,"Shri Jual Oram",jualoram@sansad.nic.in,OR-2
8,Supaul,BI,"Smt. Ranjeet Ranjan",ranjeet.ranjan19@sansad.nic.in,BI-8
24,Surat,GJ,"Smt. Darshana Vikram Jardosh",mail@darshanajardosh.in,GJ-24
9,Surendranagar,GJ,"Shri Devajibhai Govindbhai Fatepara",mpsnr1419@gmail.com,GJ-9
1,Surguja,CT,"Shri Kamalbhan Singh Marabi",kamalbhans.marabi@sansad.nic.in,CT-1
